order_id,customer_id,product_id,order_date,quantity,unit_price,status
5001,1,101,2024-07-03,1,89.99,completed
5002,2,105,2024-07-05,3,14.99,completed
5003,6,107,2024-07-08,4,139.00,COMPLETED
5004,3,103,2024-07-11,5,9.99,completed
5005,9,104,2024-07-15,1,119.00,Completed
5006,4,108,2024-07-18,2,189.99,completed
5007,1,110,2024-07-22,2,19.99,cancelled
5008,11,105,2024-07-26,2,14.99,completed
5009,7,107,2024-08-01,3,149.00,completed
5010,5,102,2024-08-04,1,129.99,completed
5011,14,103,2024-08-07,10,8.49,COMPLETED
5012,8,109,2024-08-12,1,24.99,returned
5013,10,104,2024-08-15,2,115.00,completed
5014,2,101,2024-08-19,1,89.99,completed
5015,13,106,2024-08-23,2,39.99,completed
5016,6,108,2024-08-27,3,179.99,completed
5017,15,110,2024-09-02,1,19.99,completed
5018,9,105,2024-09-05,4,12.99,Completed
5019,3,102,2024-09-09,1,129.99,cancelled
5020,12,109,2024-09-13,2,24.99,completed
5021,1,107,2024-09-17,1,149.00,completed
5022,4,103,2024-09-21,6,9.99,completed
5023,14,101,2024-09-25,8,79.99,completed
5024,7,104,2024-09-29,2,119.00,completed
5025,5,110,2024-10-03,3,18.99,completed
5026,11,102,2024-10-07,1,129.99,returned
5027,10,108,2024-10-11,1,89.99,completed
5028,8,106,2024-10-15,2,39.99,completed
5029,2,109,2024-10-19,1,24.99,completed
5030,15,105,2024-10-23,2,14.99,CANCELLED
5031,6,101,2024-10-27,5,84.99,completed
5032,13,107,2024-11-01,1,149.00,completed
5033,9,103,2024-11-05,4,9.99,completed
5034,3,104,2024-11-09,1,124.00,completed
5035,12,102,2024-11-13,1,129.99,completed
5036,1,105,2024-11-17,3,14.99,completed
5037,14,108,2024-11-21,6,174.99,completed
5038,7,110,2024-11-25,2,19.99,completed
5039,4,109,2024-11-29,1,22.99,returned
5040,5,106,2024-12-03,1,39.99,completed
5041,10,101,2024-12-07,2,89.99,completed
5042,11,103,2024-12-11,3,9.99,completed
5043,8,107,2024-12-15,1,159.00,completed
5044,15,104,2024-12-19,1,119.00,completed
5045,2,108,2024-12-23,1,89.99,completed
5046,6,102,2025-01-06,2,124.99,completed
5047,13,109,2025-01-10,2,24.99,cancelled
5048,9,110,2025-01-14,4,17.99,completed
5049,12,101,2025-01-18,1,89.99,completed
5050,3,105,2025-01-22,2,14.99,completed
5051,14,107,2025-01-26,3,144.00,completed
5052,1,102,2025-01-30,1,129.99,completed
5053,7,103,2025-02-03,5,9.99,completed
5054,5,108,2025-02-07,1,199.99,completed
5055,10,110,2025-02-11,1,19.99,returned
5056,11,104,2025-02-15,1,119.00,completed
5057,4,106,2025-02-19,3,37.99,completed
5058,15,101,2025-02-23,1,89.99,completed
5059,8,105,2025-02-27,2,14.99,completed
5060,2,107,2025-03-03,1,149.00,completed
