ORDER_ID,CUSTOMER_ID,ORDER_DATE,STATUS,CURRENCY,AMOUNT
1001,1,2024-02-01,completed,USD,120.50
1002,2,2024-02-03,completed,USD,75.00
1003,1,2024-02-15,completed,USD,230.00
1004,3,2024-02-20,cancelled,EUR,45.99
1005,5,2024-03-02,completed,USD,310.25
1006,2,2024-03-05,completed,USD,89.99
1007,6,2024-03-10,completed,USD,150.00
1008,4,2024-03-12,refunded,EUR,60.00
1009,7,2024-03-20,completed,USD,499.99
1010,1,2024-03-25,completed,USD,42.00
1011,9,2024-04-10,completed,EUR,220.10
1012,10,2024-04-15,completed,EUR,135.75
1013,5,2024-04-22,cancelled,USD,89.50
1014,11,2024-05-01,completed,USD,310.00
1015,12,2024-05-09,completed,EUR,58.20
1016,6,2024-05-15,completed,USD,640.00
1017,14,2024-06-03,completed,AUD,205.40
1018,15,2024-06-10,completed,USD,99.99
1019,16,2024-06-21,completed,EUR,180.00
1020,17,2024-07-01,completed,USD,250.00
1021,2,2024-07-04,refunded,USD,75.00
1022,18,2024-07-12,completed,EUR,330.45
1023,20,2024-08-02,completed,EUR,121.00
1024,17,2024-08-09,completed,USD,415.30
1025,9,2024-08-18,completed,EUR,77.70
1026,1,2024-08-25,completed,USD,560.00
1027,14,2024-09-05,cancelled,AUD,49.95
1028,11,2024-09-14,completed,USD,230.00
1029,12,2024-09-22,completed,EUR,145.60
1030,17,2024-10-01,completed,USD,89.00
